✓  Babloo Prithveeraj                             [portrait=0.00, quality=0.74, text=0.325, face=0.25, front=0.61, out=14KB]  src=10027.jpg  →  Babloo Prithveeraj.jpg
✓  Babu Mohan                                     [portrait=0.00, quality=0.46, text=0.101, face=0.27, front=0.88, out=97KB]  src=10005.jpg  →  Babu Mohan.jpg
skip Bala Aditya: no valid single-face frontal image
✓  Bandla Ganesh                                  [portrait=0.00, quality=0.49, text=0.092, face=0.21, front=0.87, out=173KB]  src=10002.jpg  →  Bandla Ganesh.jpg
skip Bellamkonda Ganesh: no valid single-face frontal image
✓  Bellamkonda Sreenivas                          [portrait=0.00, quality=0.50, text=0.124, face=0.19, front=0.86, out=89KB]  src=10008.jpg  →  Bellamkonda Sreenivas.jpg
✓  Bhanu Chander                                  [portrait=0.00, quality=0.31, text=0.153, face=0.13, front=0.98, out=18KB]  src=10010.webp  →  Bhanu Chander.webp
✓  Bharath Raju                                   [portrait=0.00, quality=0.68, text=0.379, face=0.31, front=0.62, out=11KB]  src=10003.jpeg  →  Bharath Raju.jpg
✓  Bhumika                                        [portrait=0.00, quality=0.45, text=0.163, face=0.19, front=0.80, out=44KB]  src=10021.jpg  →  Bhumika.jpg
✓  Bindu Madhavi                                  [portrait=0.00, quality=0.36, text=0.177, face=0.10, front=0.64, out=64KB]  src=10030.jpg  →  Bindu Madhavi.jpg
✓  Boman Irani                                    [portrait=0.00, quality=0.84, text=0.217, face=0.24, front=0.65, out=114KB]  src=10014.jpeg  →  Boman Irani.jpg
✓  Bramhanandam                                   [portrait=0.00, quality=0.62, text=0.390, face=0.11, front=0.54, out=10KB]  src=10025.jpg  →  Bramhanandam.jpg
✓  CVL Narasimha Rao                              [portrait=0.00, quality=0.38, text=0.215, face=0.29, front=0.80, out=193KB]  src=10013.png  →  CVL Narasimha Rao.png
✓  Catherine Tresa                                [portrait=0.00, quality=0.38, text=0.061, face=0.12, front=0.87, out=59KB]  src=10037.jpg  →  Catherine Tresa.jpg
✓  Chaitanya Garikpati                            [portrait=0.00, quality=0.42, text=0.305, face=0.36, front=0.81, out=203KB]  src=10006.png  →  Chaitanya Garikpati.png
✓  Chaitanya Rao                                  [portrait=0.00, quality=0.78, text=0.198, face=0.19, front=0.75, out=42KB]  src=10014.webp  →  Chaitanya Rao.webp
✓  Chalaki Chanti                                 [portrait=0.00, quality=0.51, text=0.117, face=0.24, front=0.56, out=66KB]  src=10003.jpg  →  Chalaki Chanti.jpg
✓  Chalapati Rao                                  [portrait=0.00, quality=0.55, text=0.023, face=0.27, front=0.85, out=34KB]  src=10001 (1).jpg  →  Chalapati Rao.jpg
✓  Chammak Chandra                                [portrait=0.00, quality=0.43, text=0.251, face=0.31, front=0.86, out=64KB]  src=10006.jpg  →  Chammak Chandra.jpg
✓  Chandini Chowdary                              [portrait=0.00, quality=0.66, text=0.156, face=0.11, front=0.66, out=133KB]  src=10008.jpg  →  Chandini Chowdary.jpg
✓  Chandra Mohan                                  [portrait=0.00, quality=0.62, text=0.039, face=0.22, front=0.67, out=109KB]  src=10007.jpg  →  Chandra Mohan.jpg
✓  Charan Raj                                     [portrait=0.00, quality=0.55, text=0.121, face=0.15, front=0.96, out=73KB]  src=10006.jpeg  →  Charan Raj.jpg
✓  Charmy                                         [portrait=0.00, quality=0.50, text=0.198, face=0.19, front=0.57, out=117KB]  src=10005.jpg  →  Charmy.jpg
✓  Chatrapathi Sekhar                             [portrait=0.00, quality=0.48, text=0.048, face=0.22, front=0.86, out=32KB]  src=10003.jpg  →  Chatrapathi Sekhar.jpg
