Movie Name,Cast
Bodyguard,"Venkatesh, Trisha, Saloni Aswani, Prakash Raj, Kota Srinivas Rao, Jaya Praksah Reddy, Subbaraju, Tanikella Bharani, Ali, Pragathi, Dharmavarapu Subramanyam, M. S. Narayana, Venu Madhav, Praveen, Thagubothu Ramesh, Gundu Sudarshan, Amit Tiwari"
Bootcut Balaraju,"Syed Sohel, Meghalekha, Siri Hanmanth, Sunil, Indraja, Avinash, Saddam, Vennela Kishore"
Bobby,"Mahesh Babu, Aarthi Agarwal, Raghuvaran, Prakash Raj, Bramhanandham, Sunil, Pragathi, Ravi Babu, Meher Ramesh"
Bindaas,"Manoj Manchu, Sheena Shahabadi, Vennela Kishore, Master Bharath, Bramhanandham, M. S. Narayana, Subbaraju, Jayaprakash Reddy, Rashmi Gautham, Ahuti Prasad"
Brother of Bommali,"Allari Naresh, Karthika Nair, Monal Gajjar, Harshvardhan Rane, Bramhanandham, Ali, Jayaprakash Reddy, Nagineedu, Vennela Kishore, Kelly Dorji, Srinivas Reddy, Praveen, Abhimanyu Singh"
Bruce Lee,"Ram Charan, Rakul Preet Singh, Kriti Kharbanda, Arun Vijay, Sampath Raj, Nadhiya"
Brundavanam,"Rajendra Prasad, Ramya Krishna"
Buridi,"Aryan Rajesh, Aishwarya, Chalapati Rao, M. S. Narayana, Raghu Babu, Bramhanandham, Ali, Jayaprakash Reddy, L. B. Sriram, A. V. S., Krishna Bhagavan, Jeeva, Hema, Kovai Sarala, Telangana Shakuntala"
Boss Nagarjuna,"Nagarjuna Akkineni, Nayanthara, Poonam Bajwa, Shriya Saran"
Bramhotsavam,"Mahesh Babu, Samantha Ruth Prabhu, Kajal Aggarwal, Pranitha Subhash, Satya Raj, Jayasudha, Revathi, Tanikella Bharani, Naresh, Tulasi, Rao Ramesh, Sayaji Shinde, Subhalekha Sudhakar, Jayaprakash Reddy, Saranya Ponvannan, Easwari Rao, Nassar, Pavani Gangireddy"
Brothers,"Akshay Kumar, Sidharth Malhotra, Jacqueline Fernandez, Jackie Shroff, Shefali Shah"
Cauliflower,"Sampoornesh Babu, Vaasanthi, Posani Krishna Murali, Getup Srinu, Mukku Avinash"
Chatrapathi,"Prabhas, Shriya Saran, Bhanupriya, Shafi, Pradeep Rawat, Manoj Nandam"
Check,"Nithiin, Rakul Preet Singh, Priya Prakash Varrier, Simran Choudhary"
Chanti,"Venkatesh, Meena, Nassar, Sujatha, Bramhanandham, Ali, Tanikella Bharani, Raghu Babu"
Chakram,"Prabhas, Asin, Charmy Kaur, Prakash Raj, Urvashi, Tanikella Bharani, Rajya Lakshmi, Radha Kumari, Ahuti Prasad, Venu Madhav, M. S. Narayana, Raghu Babu"
Challenge,"Chiranjeevi, Vijayashanti, Suhasini, Rao Gopal Rao, Gollapudi Maruthi Rao, Rajendra Prasad, Sai Kumar, Silk Smitha"
Chandamama,"Navdeep, Kajal Aggarwal, Siva Balaji, Sindhu Menon, Naga Babu, Ahuti Prasad, Satyam Rajesh, Uttej, Abhinayashree, Radha Kumari, Jeeva, Gundu Sudarshan, Ananth, Sameer, Rajitha"
Chantabbai,"Chiranjeevi, Suhasini, Jaggayya, Mucherla Aruna, Suthivelu, Allu Aravind, Raavi Kondala Rao, Bheema Raju, Allu Ramalingaiah, Sakshi Ranga Rao, Sri Lakshmi, Chandra Mohan, Sudhakar, Bramhanandham, Ali"
Chirutha,"Ram Charan, Neha Sharma, Prakash Raj, Ashish Vidyarthi, Sayaji Shinde, Tanikella Bharani, Raghu Babu, Bramhanandham, Ali, Daniel Balaji, Dharmavarapu Subramanyam, M. S. Narayana, Venu Madhav, G. V. Sudhakar Naidu, Uttej, Srinivas Reddy, Pragathi, Satyam Rajesh, Khayyum, Babloo"
Cheppave Chirugali,"Venu Thottempudi, Abhirami, Ashima Bhalla, Giri Babu, Kaikala Satyanarayana, Ramji, Sunil, Sudhakar, Krishna Bhagavan, L. B. Sriram, Mouli, Ramesh Khanna, Visweswara Rao, Master Deepak, Trinadh, Sangeeta, Subhashini, Radhika, Jabardasth Apparao, Pandu, Kiran Rathod"
Chintakayala Ravi,"Venkatesh, Anushka Shetty, Mamta Mohandas, Venu Thottempudi, Prakash Raj, Rajeev Kanakala, Aarti Chhabria, Pradeep Shakti, Srilalitha, Rajitha"
Chirunavvutho,"Venu, Shaheen Khan, Prema, Prakash Raj"
Chukkallo Chandrudu,"Akkineni Nageswara Rao, Siddharth, Sadha, Charmy Kaur, Saloni Aswani, Sunil, Prathap K. Pothan, Tanikella Bharani, Ahuti Prasad, Kondavalasa, K. R. Vijaya, Sana, Mounica, Waheeda Rehman, Prabhu Deva"
Darbar,"Rajinikanth, Nayanthara, Suniel Shetty, Nivetha Thomas"
Darling,"Prabhas, Kajal Aggarwal, Prabhu, Tulasi, Ahuti Prasad, Chandra Mohan, M. S. Narayana, Nassar, Srinivas Reddy"
Damarukam,"Nagarjuna, Anushka Shetty, Prakash Raj, Ravi Shankar, Ganesh Venkatraman, Bramhanandham, M. S. Narayana, Devan, Avinash, Brahmaji, Pragathi, Jeeva, Prudhviraj, Raghu Babu, Krishna Bhagavan, Thagubothu Ramesh, Abhinaya, Giri Babu, Chandra Mohan, Sathya Krishnan, Rajitha, Charmy Kaur"
Chal Mohana Ranga,"Nithiin, Megha Akash, Madhu Shalini, Rao Ramesh, Rohini, Naresh, Lissy, Nara Rohith, Srinivas Reddy, Vennela Kishore, Shakalaka Shankar, Pragathi, Santosh Sobhan, Mime Gopi"
Coolie no 1,"Govinda, Karisma Kapoor, Harish Kumar, Kanchan, Kader Khan, Shakti Kapoor, Sadashiv Amrapurkar, Kulbhushan Kharbanda, Mahesh Anand"
Current Theega,"Manchu Manoj, Rakul Preet Singh, Jagapathi Babu, Sunny Leone"
Dasara,"Nani, Keerthy Suresh, Dheekshith Shetty, Shine Tom Chacko, Samuthirakani, Sai Kumar, Shamna Kasim"
Desamuduru,"Allu Arjun, Hansika Motwani, Pradeep Rawat, Ali, Devan, Telangana Shakuntala, Subbaraju"
Bindaas,"Manoj Manchu, Sheena Shahabadi, Ahuti Prasad, Jaya Praksah Reddy, Vennela Kishore, Subbaraju, Sunil, Vijayakumar, Rashmi Gautam, Jeeva, Bramhanandham, M. S. Narayana, Vijaya Rangaraju, Bhanu Chander, Geetha, Raghu Babu, Kalpana, Telangana Shakuntala, Sudeepa Pinky, Paruchuri Venkateswara Rao, Giri Babu, Supreeth, Shravan, Banerjee, Kasi Viswanath, Master Bharath, Rajitha"
Cinema Chupistha Mama,"Raj Tarun, Avika Gor, Rao Ramesh, Bramhanandham, Saptagiri, Praveen, Mahesh Achanta, Krishna Murali Posani, Mahaboob Basha, Surekha Vani"
Current,"Sushanth, Sneha Ullal, Bramhanandham, Tanikella Bharani, Raghu Babu, Vennela Kishore, Rashmi Gautam, Jhansi, Charan Raj, Telangana Shakuntala, Shafi, Sudha, Kondavalasa Lakshmana Rao, Prudhviraj, Vijay Sai, Satyam Rajesh, Ravi Prakash, Srinivas Reddy"
Daddy,"Chiranjeevi, Simran, Rajendra Prasad, Ashima Bhalla"
Dhee,"Vishnu Manchu, Genelia, Srihari, Bramhanandham, Chandra Mohan, Akash, Supreeth, Ajay, Sunil, Santhoshi, Delhi Rajeswari, Chatrapathi Sekhar, Suma, Brahmaji, Tanikella Bharani, Jaya Praksah Reddy, Prema, Shafi, Srinivas Reddy, Chitram Sreenu, Prudhviraj, Vajja Venkata Giridhar"
Dhada,"Naga Chaitanya, Kajal Aggarwal, Sri Ram, Samiksha, Bramhanandham, Ashish Vidyarthi, Suhasini Maniratnam, Rahul Dev, Kelly Dorji, Eijaz Khan, Mukesh Rishi, Uttej, Venu Madhav, Tanikella Bharani, Sathya Krishnan, Aruna Shields"
Dookudu,"Mahesh Babu, Samantha Ruth Prabhu, Prakash Raj, Sonu Sood, Bramhanandham, M. S. Narayana, Sayaji Shinde, Ajay, Nassar, Subbaraju, Sayaji Shinde, Jeeva, Kota Srinivas Rao, Master Bharath, Vennela Kishore, Rahul Dev, Rajeev Kanakala, Pragathi, Shafi, Prabhas Sreenu, Supreet, Brahmaji, Ravi Prakash, Dharmavarapu Subramanyam, Surekha Vani, Satyam Rajesh"
Das Ka Dhamki,"Vishwak Sen, Nivetha Pethuraj, Rao Ramesh, Hyper Aadi, Ajay, Rohini, Tharun Bhaskar, Akshara Gowda"
Dhamaka,"Ravi Teja, Sreeleela, Jayaram, Sachin Khedekar, Tanikella Bharani, Rao Ramesh, Chirag Jani"
DJ Tillu,"Siddu Jonnalagadda, Neha Shetty, Prince Cecil, Brahmaji"
Dhruva,"Ram Charan, Arvind Swamy, Rakul Preet Singh, Navdeep, Posani Krishna Murali, Sayaji Shinde, Bramhanandham, Ashish Vidyarthi, Suhasini Maniratnam, Nassar"
Dear Comrade,"Vijay Deverakonda, Rashmika Mandanna, Shruti Ramachandran, Shivathmika Rajasekhar, Suhas, Raj Arjun, Srikanth Iyengar, Divya Sripada, Sanjay Swaroop, Tulasi, Ravi Anand, Anand, Kalyani Natarajan, Charuhasan, Rahul Ramakrishna, Vidyullekha Raman, Malvika Nair"
Devudu Chesina Manushulu,"Ravi Teja, Ileana D'Cruz, Prakash Raj, Bramhanandham, Ali, M. S. Narayana, Kovai Sarala, Abhimanyu Singh, Koteshwara Rao, Jaya Praksah Reddy"
Eega,"Nani, Samantha Ruth Prabhu, Sudeep, Aditya Menon, Thagubothu Ramesh, Santhanam, Hamsa Nandini, C. S. Ravikumar, Srinivas Reddy, Sreedhar, Nani's voice for Eega"
Dashavatharam,"Kamal Hasan, Asin, Jayapradha, Mallika Sherawat, K. R. Vijaya, Nagesh"
Dhammu,"N. T. Rama Rao Jr., Trisha, Karthika Nair, Nassar, Sampath Raj, Kishore, Suman, Bramhanandham, Ali, Bhanupriya, Kota Srinivas Rao, Venu Thottempudi"
Eeswar,"Prabhas, Sridevi Vijaykumar, Revathi, Bramhanandham"
Ek Niranjan,"Prabhas, Kangana Ranaut, Sonu Sood, Mukul Dev, Bramhanandham, Ali, Sunil, Venu Madhav, Tanikella Bharani, Chalapati Rao, Prudhviraj, Shafi, Sangeetha"
Gabbar Singh,"Pawan Kalyan, Shruti Hassan, Abhimanyu Singh, Kota Srinivas Rao, Ajay, Nagineedu, Suhasini, Bramhanandham, Ali, Tanikella Bharani, Rao Ramesh, Jaya Praksah Reddy, Prabhakar, Posani Krishna Murali, Prudhviraj, Hema, Sameer, Venu Madhav, Fish Venkat"
DJ Duvvada Jagannatham,"Allu Arjun, Pooja Hegde, Tanikella Bharani, Murali Sharma, Rao Ramesh, Posani Krishna Murali, Vennela Kishore, Bramhanandham, Subbaraju, Chandra Mohan, Hari Teja, Satya, Prudhviraj, Sameer, Venu, Jayaprakash Reddy"
Doosukeltha,"Vishnu Manchu, Lavanya Tripathi, Bramhanandham, Ali, Babu Mohan, Rao Ramesh, Raghubabu, Vennela Kishore, Ahuti Prasad, Prudhviraj, Rajesh, Kota Srinivas Rao, Posani Krishna Murali, Jeeva, Hema, Annapoorna, Surekha Vani"
Dwaraka,"Vijay Deverakonda, Pooja Jhaveri, Prakash Raj, Prudhviraj, Murali Sharma"
Fida,"Varun Tej, Sai Pallavi, Raja Chembolu, Sharanya Pradeep, Sai Chand, Satyam Rajesh"
Pandavalu Pandavalu Thummeda,"Mohan Babu, Manchu Vishnu, Manchu Manoj, Tanish, Varun Sandesh, Raveena Tandon, Hansika Motwani, Pranitha Subhash, Bramhanandham, Vennela Kishore, Ali, M. S. Narayana, Raghu Babu, Thagubothu Ramesh, Aishwarya"
Pellam Oorelithe,"Srikanth, Venu Thottempudi, Rakshitha, Sangeetha, Sunil, Bramhanandham, Kota Srinivas Rao, Ali, Tanikella Bharani, Gundu Hanumantha Rao, M. S. Narayana, Jyothi"
Pilla Zamindaar,"Nani, Bindu Madhavi, Haripriya, Rao Ramesh, Nagineedu, M. S. Narayana, Dr. Sivaprasad, Sameer Hasan, Vennela Kishore, Raghu Karumanchi, Dhanraj, Thagubothu Ramesh, Akshay, Venu Tillu, Chalaki Chanti, Rocket Raghava, Meghana Naidu, Melkote, Sarika Ramachandrarao, B. H. E. L. Prasad, Vasu Inturi, Namala Murthy, Chitti, Gogineni Prasad, Sana, Bhavana, Rakhi, Harish, Naveen, Master R. P. Akshith Reddy, Trinadh, Viswanath, Eeswar, Sriraj"
Police Story,"Sai Kumar, Soundarya, Dolly, Rami Reddy, Bramhanandham, Kota Srinivas Rao, Mohan Raj, Babu Mohan, Rallapalli, M. S. Narayana, Ali, Ahuti Prasad, M. S. Narayana, Vijaykumar"
Policeodu,"Vijay, Samantha Ruth Prabhu, Amy Jackson, Nainika, Raadhika Sarathkumar, Prabhu, Mahendran, Kali Venkat, Shashank, Rajendran, Manobala, Swaminathan, Kaali Venkat, Azhagan Perumal, Bineesh Bastin, Sathyan, Muthuraman"
Polimera,"Bala Aditya, Kamakshi Bhaskarla, Satyam Rajesh, Chitram Sreenu, Getup Srinu, Ravi Varma"
Pooja Vishal,"Vishal, Shruti Hassan, Satya Raj, Soori, Radhika, Mukesh Tiwari, Prathap Pothen, Jayaprakash, Manobala"
Prasanna Vadanam,"Suhas, Payal Radhakrishna, Rashi Singh, Nithin Prasanna, Kushalini Pulapa, Viva Harsha, R. R. V. Rammak, Sai Swetha, Surabhi Prabhavathi"
Prasthanam,"Sharwanand, Sai Kumar, Sundeep Kishan, Ruby Parihar, Pavitra Lokesh, Rashmi Gautam, Jeeva, Vennela Kishore, Jaya Praksah Reddy, Ravi Prakash, Jeeva, Prudhvi Raj, Dil Ramesh"
Prathinidhi,"Nara Rohith, Shubra Aiyappa, Prakash Raj, Kota Srinivas Rao, Jaya Praksah Reddy, Ravi Shankar, Sachin Khedekar, Ali, Uttej, Ajay, Posani Krishna Murali, Sayaji Shinde"
Pedda Rayudu,"Mohan Babu, Rajinikanth, Soundarya, Bhanupriya, Subhashri, Babu Mohan, Bramhanandham, Chalapati Rao, Anandaraj, Kota Srinivas Rao"
Polimera 2,"Satyam Rajesh, Kamakshi Bhaskarla, Getup Srinu, Bala Aditya, Chitram Sreenu, Ravi Varma, Rakendu Mouli, Sahiti Dasari"
Premabhishekam,"Akkineni Nageswara Rao, Jayasudha, Sridevi, Murali Mohan, Mohan Babu, K. Chakravarthy"
Premam,"Naga Chaitanya Akkineni, Shruti Hassan, Madonna Sebastian, Anupama Parameswaran, Chaitanya Krishna, Praveen, Jeeva, Brahmaji, Vennela Kishore, Nagarjuna Akkineni, Easwari Rao, Satyam Rajesh, Viva Harsha, Josh Ravi, Aarif, Avantika Vandanapu"
Premante Idera,"Venkatesh, Preity Zinta, Srihari, Bramhanandham, Ali, Chandra Mohan, Ranganath, Ramaprabha, Rajitha, Kaikala Satyanarayana, Sivaji Raja, Sivaji, Narra Venkateswara Rao, Lakshmi, Vajja Venkata Giridhar"
Premikula Roju,"Kunal Singh, Sonali Bendre, Nassar, Manivannan, Chinni Jayanth, Periyar Dasan, Kalpana Iyer"
Premisthe,"Bharath, Sandhya, Sukumar, Tanikella Bharani, Chandra Mohan, Dhandapani, Sangeetha, Rekha, Sanjay Krishna, Santhoshi, Kadhal Thandapani, Rajan, Palani, Vasu Vikram"
Prematho ra,"Venkatesh, Simran, Suresh, Prema, Murali Mohan, Sujatha, Kota Srinivas Rao, Bramhanandham, Ali, AVS, Asha Saini, Isha Koppikar, Mink Brar, L. B. Sriram, Rama Prabha, Prasad Babu, Subbaraya Sarma, Madhurisen, Kalpana Rai, Junior Relangi, Gowtham Raju, Mithai Chitti, Gadiraju Subba Rao, Mukhtar Khan, Naveen, Sri Harsha, Radha, Indu Anand, Banda Jyothi, Richa Pallod"
Prince,"Vivek Oberoi, Aruna Shields, Nandana Sen, Neeru Bajwa, Isaiah, Sanjay Kapoor, Dalip Tahil, Amit Behl, Akhilesh Sharma, Manish Anand, Mohit Chauhan, Mayur Puri, Rajesh Khattar"
Project Z,"Sundeep Kishan, Lavanya Tripathi, Akshara Gowda, Jackie Shroff, Daniel Balaji, V. Jayaprakash, Bagavathi Perumal, Mime Gopi, KS Ravikumar, Amarendran"
Panja,"Pawan Kalyan, Sarah-Jane Dias, Anjali Lavania, Jackie Shroff, Adivi Sesh, Atul Kulkarni, Bramhanandham, Tanikella Bharani, Ali, Subbaraju, Sampath Raj, Paruchuri Venkateswara Rao, Chandra Mohan, Surekha Vani, Jhansi, Kishore Ballal"
Panchathanthiram,"Kamal Hasan, Simran, Ramya Krishna, Ramesh Aravind, Jayaram, Urvashi, Sanghavi, Nagesh, Aishwarya, Kaikala Satyanarayana"
Party,"Allari Naresh, Shashank, Madhu Sharma, Ravi Babu, Bramhanandham, Chalapati Rao, Nuthan Kumar"
Parugu,"Allu Arjun, Sheela Kaur, Prakash Raj, Sunil, Chitram Srinu, Jayasudha, Poonam Bajwa, Srinivas Reddy, Dhanraj, Jaya Praksah Reddy, Saptagiri, Subbaraju, Ahuti Prasad, Chandra Mohan, Jeeva, Kalpika Ganesh, Rajitha, Fish Venkat, Delna Davis"
Pournami,"Prabhas, Trisha Krishnan, Charmy Kaur, Rahul Dev, Mukesh Rishi, Sindhu Tolani, Tanikella Bharani, Kota Srinivas Rao, Geetha, Chandra Mohan, Manju Bhargavi, Harsha Vardhan, Prabhu Deva, Narsing Yadav, Sunil, Paruchuri Venkateswara Rao"
Power,"Ravi Teja, Hansika Motwani, Regina Cassandra, Prakash Raj, Bramhanandham, Mukesh Rishi, Sampath Raj, Kota Srinivas Rao, Subbaraju, Ali, Posani Krishna Murali, Harish Uthaman, Jaya Praksah Reddy, Sai Kumar, Brahmaji, Rajeev Kanakala, Surekha Vani, Aditya Menon"
Aagadu,"Mahesh Babu, Tamanna Bhatia, Sonu Sood, Rajendra Prasad, Ashish Vidyarthi, Bramhanandham, Nassar, M. S. Narayana, Vennela Kishore, Rao Ramesh, Srinivas Reddy, Bharath Reddy, Pragathi"
Adbutham,"Teja Sajja, Shivani Rajsekhar, Sivaji Raja, Tulasi, Satya Akkala, Mirchi Kiran, Devi Prasad"
Adhinayakudu,"Nandamuri Balakrishna, Raai Laxmi, Jayasudha, Sukanya, Saloni, Pradeep Rawat, Aditya Menon, Kota Srinivas Rao, Murali Sharma, Rahman, Bramhanandham, Charanraj, Venu Madhav, Kasi Viswanath, M. S. Narayana, Amit Tiwari, John Kokken"
Adhugo,"Ravi Babu, Nabha Natesh, Rakesh Rachakonda, Abhishek Varma"
Endukante premanta,"Ram Pothineni, Tamanna Bhatia, Catherine Tresa, Raghu Babu, Bramhanandham, Nassar, Suman, Vennela Kishore, M. S. Narayana, Melkote, Satyam Rajesh"
Gamyam,"Allari Naresh, Sharwanand, Kamalinee Mukherjee, Ravi Prakash, Satyam Rajesh"
Gharana Mogudu,"Chiranjeevi, Nagma, Vani Viswanath, Rao Gopal Rao, Kaikala Satyanarayana"
Gharshana,"Venkatesh, Asin, Salim Baig, Ravi Prakash, Tanikella Bharani, Sunil, Aishwarya"
Dubai Seenu,"Ravi Teja, Nayanthara, Bramhanandham, Venu Madhav, Sayaji Shinde, Krishna Bhagavan, Srinivas Reddy, Suman, Chitram Sreenu, Subbaraju, Duvvasi Mohan, M. S. Narayana, Jeeva, Delhi Rajeswari, Prudhviraj, Fish Venkat"
Drona,"Nithiin, Priyamani, Kelly Dorjee, Mukesh Rishi, Sunil, Raghu Babu, Seeta"
Eagle,"Ravi Teja, Anupama Parameswaran, Kavya Thapar, Navdeep, Srinivas Avasarala, Madhubala, Ajay Ghosh, Srinivas Reddy, Brahmaji, Muralidhar Goud, Madhoo"
Godavari,"Sumanth, Kamalinee Mukherjee, Neetu Chandra, Kamal Kamaraju, Tanikella Bharani, Suman Shetty"
Godfather,"Chiranjeevi, Nayanthara, Salman Khan, Satyadev, Sunil, Murali Sharma, Samuthirakani, Brahmaji, Sarvadaman D. Banerjee, Gangavva, Tanya Ravichandran, Prabhu Deva, Puri Jagannadh, Divi Vadthya, Shafi, Rajeev Kanakala, Getup Srinu"
Gokulamlo Seetha,"Pawan Kalyan, Raasi, Harish Kumar"
Golimaar,"Gopichand, Priyamani, Roja, Kelly Dorji, Nassar, Ali, M. S. Narayana, Satyam Rajesh, Prakash Raj"
Ghatokthachudu,"Satyanarayana, Ali, Roja, Baby Nikita, Sarath Babu, Tinnu Anand, Bramhanandham, Kota Srinivas Rao, Chalapati Rao, AVS, Rallapalli, Gundu Hanumantha Rao, Mallikarjuna Rao, Chitti Babu, Ananth Babu, Subbaraya Sharma, Chakrapani, Giri Babu, Prasad Babu, Vijaya Rangaraju, Sri Lakshmi, Sudha"
Gopala Gopala,"Venkatesh, Pawan Kalyan, Shriya Saran, Mithun Chakraborty, Ashish Vidyarthi, Posani Krishna Murali"
Govindudu Andarivadele,"Ram Charan, Kajal Aggarwal, Srikanth, Kamalinee Mukherjee, Prakash Raj, Jayasudha, Rahman, Adarsh Balakrishna"
Ghatikudu,"Suriya, Nayanthara, Vadivelu, B. Saroja Devi, Nassar, Sayaji Shinde, Rahul Dev, K. S. Ravikumar"
Gunde Jaari Gallanthayyindhe,"Nithiin, Nithya Menen, Isha Talwar, Madhunandan, Ali, Thagubothu Ramesh, Sandhya Janak, M. S. Narayana, Raghu Babu, Ahuti Prasad, Pragathi, Arun Kumar, Duvvasi Mohan"
Guntur Talkies,"Siddu Jonnalagadda, Rashmi Gautam, Shraddha Das, Naresh, Gundu Sudarshan, Mahesh Manjrekhar, Raja Ravindra, Raghu Babu, Thagubothu Ramesh, Jogi Naidu, Jayavani, Apoorva, Snigdha, Allari Subhashini, Lakshmi Manchu, Chaitanya Krishna"
Guru,"Venkatesh, Ritika Singh, Mumtaz Sorcar, Nassar, Tanikella Bharani, Zakhir Hussain, Raghu Babu"
Happy Days,"Varun Sandesh, Tamanna Bhatia, Rahul Haridas, Nikhil Siddharth, Vamsee Krishna, Sonia Deepti, Gayatri Rao, Monali Chowdhary"
Heart Attack,"Nithiin, Adah Sharma, Vikramjeet Virk, Nicole Amy Madell"
Hello Brother,"Nagarjuna Akkineni, Ramya Krishna, Soundarya, Srihari, Bramhanandham, Ali, Kota Srinivas Rao, Babu Mohan, Giri Babu, Mallikarjuna Rao, Napoleon, Rambha, Sangeetha, Narsing Yadav, Ananth Babu, Kadambari Kiran, Sri Lakshmi, Siva Parvathi"
Husharu,"Tejus Kancherla, Tej Kurapati, Dinesh Tej, Abhinav Medishetti, Rahul Ramakrishna, Daksha Nagarkar, Priya Vadlamani, Hemal Ingle, Ramya Pasupuleti"
Idiot,"Ravi Teja, Rakshita, Prakash Raj, Ali, Giri Babu, Jeeva, Banerjee, Tanikella Bharani"
Indra,"Chiranjeevi, Aarthi Agarwal, Sonali Bendre, Mukesh Rishi, Sivaji, Prakash Raj"
Ishq,"Nithiin, Nithya Menen, Ajay, Sindhu Tolani, Rohini, Nagineedu, Ali, Srinivas Reddy, Supreeth, Ravi Prakash, Thagubothu Ramesh, Sathya Krishnan, Sandhya Janak, Madhunandan"
HIT,"Vishwak Sen, Ruhani Sharma, Murali Sharma, Brahmaji, Chaitanya Sagiraju, Hari Teja, Bhanu Chander, Kalpika Ganesh, Ravi Varma, Maganti Srinath, Rangadham, Roopa Lakshmi, Rajeshwari, Kalpa Latha, Trish, Jaiyetri, Sathya Krishnan, Sri Harsha, Sanjana Reddy Malla"
Hrudaya Kaleyam,"Sampoornesh Babu, Swasthika, Keeru, Kathi Mahesh, Jain Charan Musturu, Spot Babu, Swastik"
iSmart Shankar,"Ram Pothineni, Satyadev, Nabha Natesh, Nidhi Agarwal, Ashish Vidyarthi, Raj Deepak Shetty, Tulasi, Getup Srinu, Aziz Naser, Puneet Issar, Madhusudhan Rao, Vikas Sethi, Gangavva, Lekha Prajapati, Puri Jagannadh"
Jagadam,"Ram Pothineni, Isha Sahani, Pradeep Rawat, Prakash Raj, A. S. Ravikumar Chowdary, Satya Prakash, Raghu Babu, Saranya, Venu Yeldandi, Dhanraj, Ramesh, Chitram Srinu, Tanikella Bharani, Narsing Yadav"
Jaffa,"Bramhanandham, Ali, Fish Venkat, Thagubothu Ramesh, Dhanaraj, Sravan"
Jai Chiranjeeva,"Chiranjeevi, Sameera Reddy, Bhumika Chawla, Arbaaz Khan, Prakash Raj, Tanikella Bharani, M. S. Narayana, Venu Madhav, Dharmavarapu Subramanyam, Sunil, Bramhanandham, Srihari, Suman, Rajitha"
Jai Lava Kusa,"N. T. Rama Rao Jr., Raashii Khanna, Nivetha Thomas, Tamannaah, Ronit Roy, Nassar, Sai Kumar, Posani Krishna Murali, Pradeep Rawat, Pavitra Lokesh"
Jalsa,"Pawan Kalyan, Ileana D'Cruz, Parvati Melton, Kamalinee Mukherjee, Mukesh Rishi, Prakash Raj, Bramhanandham, Ali, Sunil, Tanikella Bharani, Sivaji, Abhimanyu Singh, Dharmavarapu Subramanyam, Shishir Sharma, Makarand Deshpande, Jaya Praksah Reddy, Uttej, Satyam Rajesh, Suneel, Kalyani Reddy, Telangana Shakuntala, Ravi Varma, Harshavardhan, Shankar Melkote, Melkote, Pawan Kalyan's friend, Vamsi Krishna"
Janatha Garage,"Mohanlal, N. T. Rama Rao Jr., Samantha Ruth Prabhu, Nithya Menen, Unni Mukundan, Sai Kumar, Devayani, Srinivas Avasarala, Kajal Aggarwal, Rahman, Ajay, Chandra Mohan, Brahmaji, Rajeev Kanakala, Vennela Kishore, Posani Krishna Murali, Murali Sharma, Aravind, Arulnithi, Sapthagiri, Vidyullekha Raman, Sithara"
Jambalakadi Pamba,"Srinivas Reddy, Siddhi Idnani, Posani Krishna Murali, Vennela Kishore, Shakalaka Shankar, Krishna Bhagavan, Anup Rubens, Nitya Shetty, Gundu Sudarshan, Satyam Rajesh, Rajitha, Jaya Praksah Reddy"
Golkonda High School,"Sumanth, Swathi Reddy, Subbaraju, Tanikella Bharani, Shafi, Jhansi, Hema, Harimohan Paruvu, Rachakonda Vidyasagar, Chandramouli Kalyana Chakravarthy, Mocherla Pradeep, Rohit Ranka, Vasanth Sameer, Santosh Sobhan, Sivannarayana"
Hyper,"Ram Pothineni, Raashii Khanna, Satya Raj, Rao Ramesh, Murali Sharma, Naresh, Thulasi Shivamani, Posani Krishna Murali, Brahmaji, Hema, Prudhviraj, Fish Venkat"
Jayam,"Nithiin, Gopichand, Sadha, Prakash Raj, Rama Prabha, Dharmavarapu Subramanyam, Rallapalli, Vizag Prasad, Tanikella Bharani, Ali, Raghu Babu, Narsing Yadav"
Jayam Manadera,"Venkatesh, Soundarya, Bhanupriya, Jaya Praksah Reddy, Atul Kulkarni, Jhansi, Bramhanandham, Ali, Tanikella Bharani, M. S. Narayana, AVS, L. B. Sriram, Ahuti Prasad, Prasad Babu, Meena Kumari, Banerjee, Ravi Babu, Hema, Siva Parvathi, Indu Anand, Rama Prabha"
Ism,"Nandamuri Kalyan Ram, Aditi Arya, Jagapathi Babu, Posani Krishna Murali, Ali, Vennela Kishore, Jayaprakash Reddy, Tanikella Bharani, Gollapudi Maruthi Rao, Easwari Rao, Ajay Ghosh, Raghu Karumanchi, Srikanth"
Jeans,"Prashanth, Aishwarya Rai, Nassar, Lakshmi, Radhika Sarathkumar, Senthil, Janaki Sabesh, S. Ve. Shekher, Vivek, Karan, Mohan V. Raman, B. V. Rajamma, SJ Suriya"
Jersey,"Nani, Shraddha Srinath, Satya Raj, Harish Kalyan, Sanusha, Sampath Raj, Ronit Kamra, Viswant Duddumpudi, Brahmaji, Posani Krishna Murali, Subhalekha Sudhakar, Rao Ramesh"
Johnny,"Pawan Kalyan, Renu Desai, Raghuvaran, Mallikarjuna Rao, Geetha, Brahmaji, Sarath Babu, Gundu Hanumantha Rao, Ahuti Prasad, Ali, Nassar, C. V. L. Narasimha Rao, Sudha"
