Movie Name,Cast
Salaar,"Prabhas, Prudhviraj Sukumaran, Jagapathi Babu, Bobby Simha, Sriya Reddy, Shruti Hassan, Easwari Rao, Tinnu Anand, Devaraj, Brahmaji, Ramachandra Raju, Mime Gopi, Jhansi, Pramod Panju, Sampath Ram, Kalpalatha"
Saripodha Sanivaram,"Nani, SJ Suriya, Priyanka Arul Mohan, Abhirami Gopikumar, Aditi Balan, Sai Kumar, Subhalekha Sudhakar, Murali Sharma, Ajay Ghosh, Harshavardhan, Vennela Kishore, Sivaji Raja, Rohini, Surya Srinivas, K. Raghavan, Jeevan Kumar"
Thandel,"Naga Chaitanya, Sai Pallavi, Aadukalam Naren, Divya Pillai, Karunakaran, Kalpalatha, Babloo Prithveeraj, Harsha Chemudu, Prakash Belwadi, Charandeep, Parvateesam, Mahesh Achanta, Siva Karthik, Nithin Prasanna, Reddi Bhanu Prasad, Kishore Raju Vasistha, Chitram Basha, Vadlamani Srinivas, Naga Mahesh, Abhinav Singh Raghav"
Tuck Jagadish,"Nani, Ritu Varma, Aishwarya Rajesh, Jagapathi Babu, Nassar, Daniel Balaji, Thiruveer, Parvathi T., Rohini, Devadarshini, Naresh Senior, Rao Ramesh, Jayaprakash, Srikanth Iyengar, Aadukalam Naren, Raghu Babu, Praveen, Kancharapalem Raju, CVL Narasimha Rao"
Vakeel Saab,"Pawan Kalyan, Nivetha Thomas, Anjali, Ananya Nagalla, Prakash Raj, Shruti Hassan, Vamsi Krishna, Mukesh Rishi, Srikanth Iyengar, Lirisha, Kedar Shankar, Kamal Kamaraju, Ananda Chakrapani, Anish Kuruvilla, Subhalekha Sudhakar, Sarath Babu, Chaitanya Krishna, Shivakumar Ramachandravarapu, Kalyan, Amit Sharma, Nagineedu, Sayaji Shinde, Kancharapalem Raju, Dev Gill, CVL Narasimha Rao, Rupa Lakshmi, Sammeta Gandhi, Ramesh Reddy, Swarnakanth, Sunitha Manohar"
Middle Class Melodies,"Anand Devarakonda, Varsha Bollamma, Chaitanya Garikapati, Divya Sripada, Goparaju Raman, Surabhi Prabhavati, Prem Sagar, Krishna Teja, Muralidhar Goud"
Radhe Shyam,"Prabhas, Pooja Hegde, Bhagyashree, Krishnam Raju, Satya Raj, Kunaal Roy Kapur, Jayaram, Jagapathi Babu, Sachin Khedekar, Murali Sharma, Priyadarshi Pulikonda, Saptagiri, Sunil, Vennela Kishore, Shatru, Abhinay, Gautham Menon, Babloo Prithveeraj"
RangaMarthanda,"Prakash Raj, Ramya Krishna, Bramhanandham, Shivathmika Rajashekar, Rahul Sipligunj, Ali Reza, Anasuya Bhardwaj, Adarsh Balakrishna, Vamsi Chaganti, Prabhakar Podakandla, Kasi Viswanath, Priyadarshini Ram, Shanoor Sana, Venu Yeldandi, Bhadram, Raja Pakurthi"
Sankranthiki Vasthunam,"Venkatesh, Aishwarya Rajesh, Meenakshi Choudhary, Naresh Senior, VTV Ganesh, Srinivas Reddy, Sai Kumar, Rajendra Prasad, Upendra Limaye, Aadukalam Naren, R. J. Hemanth, Ravi Babu, Rangasthalam Mahesh, Goparaju Raman, Sai Kumar, Srinivas Avasarala"
Mithra Mandali,"Priyadarshi Pulikonda, Niharika NM, Rag Mayur, Vishnu Oi, Prasad Behara"
